,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
4098,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,37,5098156
4099,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,466,64209208
4100,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000
4101,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,46,6693230
4102,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,2,275578
4103,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A343,58,24550704
4104,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,B744,8,5150000
4105,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,32,4681600
4106,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000
4107,Etihad Airways,EY,Etihad Airways,EY,International,Asia,Passenger,Wide Body,Boeing,B772,31,15252000
4108,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Boeing,B763,5,1630000
4109,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,246,34980708
4110,Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,31,2278500
4111,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,233,39963694
4112,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,31,4535300
4113,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
4114,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,62,24876942
4115,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,1,142198
4116,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,9,4140936
4117,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A388,31,26380504
4118,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,49,6589618
4119,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD11,16,7704000
4120,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,62,8320400
4121,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC10,26,10131500
4122,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
4123,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A343,13,5445414
4124,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,B748,27,20601000
4125,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,18,153000
4126,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,31,13121897
4127,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,31,26735445
4128,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,31,17700907
4129,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,23,15686000
4130,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,31,23653000
4131,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000
4132,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,14,9120000
4133,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B789,9,3825000
4134,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B773,5,2770000
4135,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,1431,67284957
4136,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B744,26,16380000
4137,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,6,282000
4138,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,31,2077000
4139,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B738,13,1872000
4140,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,428,28676000
4141,Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,14,6888000
4142,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B773,5,2770000
4143,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,55,8046500
4144,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ7,61,4087000
4145,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,1124,84265370
4146,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,24,1798968
4147,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B738,149,21456000
4148,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B733,424,48392000
4149,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,726,92928000
4150,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B772,26,11960000
4151,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,31,26722217
4152,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B737,14,1808800
4153,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,110,14212000
4154,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,170,24480000
4155,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,5,646000
4156,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,1,652000
4157,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,42,11424000
4158,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,1,666000
4159,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,83,12137800
4160,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B734,1,121000
4161,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A343,57,24127416
4162,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,3,413367
4163,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,B772,31,14260000
4164,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,44,6402220
4165,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,28,15512000
4166,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,31,21142000
4167,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,13,8532000
4168,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,449,61866812
4169,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,1,460104
4170,Etihad Airways,EY,Etihad Airways,EY,International,Asia,Passenger,Wide Body,Boeing,B772,31,15252000
4171,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,45,6200460
4172,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000
4173,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,B744,4,2586000
4174,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,124,17751604
4175,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,31,9610000
4176,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,11,1515668
4177,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B763,38,12160000
4178,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1158,164665284
4179,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A319,37,5095256
4180,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,26,3697148
4181,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,35,4976930
4182,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,26,16513000
4183,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,5,646000
4184,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,216,66020000
4185,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,74,10136860
4186,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B752,1,198000
4187,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,33,5659500
4188,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,652,95387600
4189,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,6,877800
4190,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,50,7315000
4191,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1133,177950900
4192,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B753,68,15232000
4193,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,573,82512000
4194,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,359,71082000
4195,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,771,132226500
4196,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,253,39796900
4197,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,77,12112100
4198,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B738,4,585200
4199,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,386,42460000
4200,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B739,54,8484200
4201,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B744,3,1890000
4202,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B734,2,242000
4203,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B744,155,97650000
4204,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B744,89,56070000
4205,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,484,70809200
4206,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A320,68,9669464
4207,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
4208,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B752,521,103158000
4209,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,92,13415900
4210,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,438,98112000
4211,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,320000
4212,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,2,700000
4213,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,171,76605000
4214,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,91,12940018
4215,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,1,134482
4216,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,32,14730000
4217,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,1,470000
4218,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,61,28060000
4219,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B772,5,2350000
4220,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,31,11780000
4221,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,45,17100000
4222,Air Berlin,AB,Air Berlin,AB,International,Europe,Passenger,Wide Body,Airbus,A332,22,8827302
4223,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,E170,196,14660372
4224,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B788,12,4560000
4225,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A333,1,407855
4226,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,24,10200000
4227,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,84,35700000
4228,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,32,13600000
4229,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B789,9,3825000
4230,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,125,17223500
4231,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,1674,239157218
4232,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,49,7004079
4233,Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E170,216,16238448
4234,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,31,17700907
4235,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,8,5456000
4236,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,26,11050000
4237,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,53,7711765
4238,China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B788,31,11780000
4239,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,22,8972810
4240,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B737,25,3230000
4241,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,37,5413100
4242,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A332,13,5158816
4243,XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A332,9,3571488
4244,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A332,8,3174656
4245,XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A333,4,1649056
4246,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,310000
4247,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B739,39,5914700
4248,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,18,9972000
4249,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,31,12337064
4250,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,27,14958000
4251,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B772,4,1880000
4252,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,219,33436700
4253,Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,31,26722217
4254,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,21,11634000
4255,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,253,36005857
4256,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
4257,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B737,10,1280000
4258,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,19,12654000
4259,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,74,40996000
4260,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,60,33240000
4261,Etihad Airways,EY,Etihad Airways,EY,International,Asia,Passenger,Wide Body,Boeing,B773,1,554000
4262,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC10,26,10452500
4263,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,4,1966000
4264,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD11,16,7704000
4265,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,46,6186172
4266,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,3,426594
4267,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,59,23673219
4268,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,320000
4269,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,1,460104
4270,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
4271,Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,13,955500
4272,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,240,34127520
4273,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,231,39620658
4274,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B744,29,18270000
4275,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B772,1,470000
4276,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B773,2,1108000
4277,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B737,23,2944000
4278,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B789,7,2975000
4279,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B742,1,630000
4280,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,4,2608000
4281,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,29,22127000
4282,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,30,20460000
4283,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B772,1,575000
4284,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,30,17129910
4285,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,30,25906508
4286,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,B748,26,19838000
4287,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A343,18,7539804
4288,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B773,25,13850000
4289,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,26,16492000
4290,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,9,76500
4291,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,30,12698610
4292,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,60,33240000
4293,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,1562,73414000
4294,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,38,1786000
4295,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,23,1541000
4296,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,391,26197000
4297,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ7,46,3082000
4298,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ9,12,901200
4299,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,3,224871
4300,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,1120,83952061
4301,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,41,3073237
4302,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B733,423,48222000
4303,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,734,93952000
4304,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,162,23328000
4305,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,7,904400
4306,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,72,10530000
4307,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A343,30,12698640
4308,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,2,275578
4309,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,40,5820200
4310,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000
4311,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,378,52083864
4312,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,46,6338248
4313,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,43,5924884
4314,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1003,142624594
4315,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,62,8816276
4316,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,53,7536494
4317,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,3,387600
4318,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,597,87341100
4319,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,27,3950100
4320,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,10,1463000
4321,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1167,183249100
4322,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,9,1415700
4323,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B739,65,10224500
4324,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B744,5,3150000
4325,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B744,149,93870000
4326,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B744,86,54180000
4327,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B752,499,98802000
4328,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,371,83104000
4329,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B763,2,640000
4330,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A333,1,412260
4331,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,1,146300
4332,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,5,1750000
4333,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,31,4185477
4334,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,149,66860000
4335,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,2,920000
4336,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,14,2048200
4337,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,58,26680000
4338,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,430,62909000
4339,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B772,9,4230000
4340,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,31,11780000
